Coordinates,State,County or Parish,Company,Facility,Project,Type,Status,Sector,Potential CO2e (tons/year),Estimated population - 3 miles,Percent people of color - 3 miles,Percent low income - 3 miles
"-92.43037, 30.579653",LA,Evangeline,Driftwood Pipeline LLC,Mamou Compressor Station,Mamou Compressor Station (CS-03) - Initial Construction,Compressor Station,Pre-construction,Natural Gas,198198,993,17,52
"-92.691765, 30.126082",LA,Jefferson Davis,ANR Pipeline Company,ANR Pipeline - Mermentau Compressor Station,Mermentau Compressor - Initial Construction,Compressor Station,Operating,Natural Gas,155806.71,2028,18,48
"-90.997983, 30.207114",LA,Ascension,MCC Methacrylates Americas Inc.,Mitsubishi Chemicals Geismar MMA Plant,Mitsubishi Chemicals Geismar MMA Plant - Initial Construction,Plastic Resin Manufacturing,Announced,Petrochemicals and Plastics,,5273,36,14
"-90.913262, 30.083004",LA,St. James,Mosaic Fertilizer LLC,Mosaic Faustina Plant,Mosaic Faustina Plant,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,365227,1919,65,48
"-90.642429, 30.053883",LA,St. John the Baptist,Mt. Airy Terminal LLC,"Mt. Airy Terminal ",Mt. Airy Terminal - Storage Capacity Expansion Project,Natural Gas Liquids Storage Facility,Operating,Petrochemicals and Plastics,139852,4646,64,43
"-93.325658, 30.202496",LA,Calcasieu,Westlake Chemical OpCo LP,Westlake Petrochemical Complex,Petro I and Petro II Expansion Project,Ethylene Cracker,Operating,Petrochemicals and Plastics,377043,15526,12,29
"-91.240171, 30.234815",LA,Iberville,"Enlink Processing Services, LLC",Plaquemine NGL Fractionation Plant,Plaquemine NGL Fractionation Plant,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,254415,5469,59,42
"-89.975233, 29.669156",LA,Plaquemines,"Plaquemines Liquid Terminal, LLC",Plaquemines Liquids Terminal,Plaquemines Liquids Terminal - Initial Construction,Crude Oil Terminal,Canceled,Oil,566466,571,59,47
"-89.8972, 29.594392",LA,Plaquemines,"Venture Global Plaquemines LNG, LLC",Plaquemines LNG Terminal,Plaquemines LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,8144463,429,87,60
"-91.922055, 31.877322",LA,Catahoula,"Columbia Gulf Transmission, LLC",Columbia Gulf - Red Mountain Compressor Station,LA XPress Red Mountain Compressor Station,Compressor Station,Operating,Natural Gas,214601,174,0,26
"-93.867416, 29.748915",LA,Cameron,Sabine Pass LNG LP,Sabine Pass LNG Terminal,Sabine Pass LNG - Trains 1-4,Liquefied Natural Gas Terminal or Liquefaction Plant,Operating,Liquefied Natural Gas,5734190,291,14,18
"-91.197021, 32.874207",LA,East Carroll,"Columbia Gulf Transmission, LLC",Shelburn Compressor Station,Shelburn Compressor Station,Compressor Station,Operating,Natural Gas,214536,192,24,43
"-91.260466, 30.322319",LA,"West Baton Rouge, Iberville","Shintech Louisiana, LLC",Shintech Addis Plant Expansion,Shintech Addis Plant Expansion Project,Plastic Resin Manufacturing,Announced,Petrochemicals and Plastics,,7030,53,41
"-91.172581, 30.259603",LA,Iberville,"Shintech Louisiana, LLC",Shintech Plaquemine Plant,Shintech Plaquemine - Ethylene Plant 1 (PEP-1),Ethylene Cracker,Operating,Petrochemicals and Plastics,678234,1758,68,38
"-91.172581, 30.259603",LA,Iberville,"Shintech Louisiana, LLC",Shintech Plaquemine Plant,Shintech Plaquemine - SPP Expansion Project (Plants 1 and 2),Ethylene Cracker,Operating,Petrochemicals and Plastics,118383,1758,68,38
"-91.172581, 30.259603",LA,Iberville,"Shintech Louisiana, LLC",Shintech Plaquemine Plant,Shintech Plaquemine - SPP-3 Expansion Project,Plastic Resin Manufacturing,Partially operating,Petrochemicals and Plastics,717338,1758,68,38
"-92.63141, 31.34265",LA,Rapides,Enterprise Products Operating LLC,South Boyce Compressor Station,South Boyce Compressor Station.10147-01,Compressor Station,Pre-construction,Natural Gas,,434,16,31
"-90.46861, 29.98055",LA,St. Charles,Enterprise Pelican Pipeline LP,St Charles Compressor Station,St Charles Compressor Station.10145-01,Compressor Station,Operating,Natural Gas,,2598,59,45
"-90.392502, 29.985746",LA,St. Charles,"Valero Refining - New Orleans, LLC",St. Charles Refinery,"Dock Upgrade, New Alky Unit, Gasoline Blending, and Reformer Optimization Projects",Refinery,Operating,Oil,321304,18514,31,18
"-90.866582, 30.039887",LA,St. James,"South Louisiana Methanol, LP",St. James Methanol Plant,St. James Methanol Plant,Methanol Plant,Pre-construction,Petrochemicals and Plastics,2023770,2165,89,55
"-92.424444, 30.939722",LA,Evangeline,ANR Pipeline Company,Turkey Creek Compressor Station,Turkey Creek Compressor Station,Compressor Station,Pre-construction,Natural Gas,72444,236,4,37
"-89.655653, 29.081995",LA,Plaquemines,West Delta LNG LLC,West Delta LNG Terminal,West Delta LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,1041670,,,
"-90.854388, 29.983315",LA,St. James,"Koch Methanol St. James, LLC (formerly YCI Methanol One, LLC and Yuhuang Chemical Inc.)",Koch Methanol St. James Methanol Plant (previously YCI Methanol Plant),Koch Methanol St. James Methanol Plant,Methanol Plant,Operating,Petrochemicals and Plastics,1621079,892,77,51
"-91.17392, 30.484917",LA,East Baton Rouge,ExxonMobil,Baton Rouge Refinery,Sulfur Project,Refinery,Operating,Oil,56478,55882,91,64
"-93.339263, 30.035156",LA,Cameron,"Cameron LNG, LLC",Cameron LNG Facility,Cameron LNG Phase II,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,5071105,490,4,37
"-91.172581, 30.259603",LA,Iberville,"Shintech Louisiana, LLC",Shintech Plaquemine Plant,Shintech Plaquemine - Ethylene Plant 1 (PEP-1) Capacity Expansion,Ethylene Cracker,Pre-construction,Petrochemicals and Plastics,256908,1758,68,38
"-91.172581, 30.259603",LA,Iberville,"Shintech Louisiana, LLC",Shintech Plaquemine Plant,Shintech Plaquemine - Hydrochloric Acid Production Furnace 3 (HAPF-3),Other Chemicals,Operating,Petrochemicals and Plastics,11383,1758,68,38
"-92.522541, 30.466356",LA,Acadia,ANR Pipeline Company,ANR Pipeline - Eunice Compressor Station,Eunice Compressor - Grand Chenier XPress Expansion Project,Compressor Station,Operating,Natural Gas,146337,1144,6,41
"-91.862263, 32.347151",LA,Richland,Venture Global Delta Express LLC,Alto Compressor Station,Alto Compressor - Initial Construction,Compressor Station,Announced,Natural Gas,,464,26,33
"-91.719186, 30.697632",LA,Pointe Coupee,Venture Global Delta Express LLC,Melville Compressor Station,Melville Compressor - Initial Construction,Compressor Station,Announced,Natural Gas,,1286,61,81
"-92.437608, 30.702655",LA,Evangeline,Cheniere Creole Trail Pipeline LP,Cheniere Creole Trail Pipeline - Mamou Compressor,Mamou Compressor Station - Initial Construction,Compressor Station,Canceled,Natural Gas,207331,1576,19,52
"-93.602792, 30.362453",LA,Calcasieu,Golden Pass Pipeline LLC,Starks Compressor Station (GPX MP 69),Starks Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,458354,56,8,31
"-93.402428, 29.993587",LA,Cameron,LA Storage LLC,Pelican Compressor Station,Pelican Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,179676,,4,37
"-90.957397, 30.100632",LA,Ascension,"CF Industries Nitrogen, LLC",Donaldsonville Nitrogen Complex,Donaldsonville Energy Retrofit Project,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,417663.54,9582,73,58
"-93.144538, 30.286927",LA,Calcasieu,"Searaven Glauben, LLC",Lake Charles Asphalt Refinery,Lake Charles Asphalt Refinery - Restart and Expansion,Refinery,Announced,Oil,,5084,49,47
"-93.2175, 30.43972",LA,Beauregard,Driftwood Pipeline LLC,Indian Bayou Compressor,Indian Bayou Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,599151,2285,6,14
"-93.301253, 30.192969",LA,Calcasieu,Port of Lake Charles - Lake Charles Harbor & Terminal District,Lake Charles Methanol & Sulfuric Acid Bulk Terminal,Lake Charles Methanol & Sulfuric Acid Terminal - Initial Construction,Natural Gas Liquids Storage Facility,Pre-construction,Petrochemicals and Plastics,10032.49,12349,15,21
"-93.867416, 29.748915",LA,Cameron,Sabine Pass LNG LP,Sabine Pass LNG Terminal,"Sabine Pass LNG - Trains 5, Train 6, and the Third Berth Expansion Project",Liquefied Natural Gas Terminal or Liquefaction Plant,Operating,Liquefied Natural Gas,5036822,291,14,18
"-90.90579, 30.138383",LA,Ascension,Air Products LLC,Air Products Blue Hydrogen Clean Energy Complex,Blue Hydrogen Clean Energy Complex,Hydrogen Plant,Announced,Other,,6761,48,18
"-93.318273, 29.785822",LA,Cameron,Venture Global CP Express LLC,CP2 LNG Terminal,CP2 LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,8253829,161,0,62
"-93.446066, 30.091521",LA,Calcasieu,Venture Global CP Express LLC,Moss Lake Compressor Station,Moss Lake Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,678429,241,11,38
"-92.524829, 30.456618",LA,Acadia,Kinder Morgan Louisiana Pipeline LLC,Eunice Compressor Station No. 760,Eunice Compressor Station No. 760 - Acadiana Pipeline Expansion Project,Compressor Station,Operating,Natural Gas,195171.61,928,5,37
"-89.975325, 29.684172",LA,Plaquemines,Phillips 66 Company,Alliance Refinery,Alliance Refinery Terminal Conversion,Crude Oil Terminal,Announced,Oil,,607,39,37
"-89.973369, 29.935457",LA,St. Bernard,Chalmette Refining LLC,Chalmette Refinery,Chalmette Refinery - Renewable Diesel Project,Renewable Diesel or Gasoline Refinery,Pre-construction,Other,,71348,61,42
"-89.87295, 29.42239",LA,Plaquemines,Venture Global Gator Express LLC,TGP Metering and Regulation Station,TGP M&R Station - Initial Construction,Other Pipeline Infrastructure,Pre-construction,Natural Gas,2245,,,
"-89.92673, 29.43729",LA,Plaquemines,Venture Global Gator Express LLC,TETCO Metering and Regulation Station,TETCO M&R Station - Initial Construction,Other Pipeline Infrastructure,Pre-construction,Natural Gas,2245,,,
"-93.35769, 29.803383",LA,Cameron,G2 Net-Zero LNG LLC,G2 Net-Zero Energy Complex,G2 Energy Complex and G2 LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Announced,Liquefied Natural Gas,,84,0,62
,LA,"St. Charles, St. John the Baptist, St. James",AmmPower Corp,AmmPower Green Hydrogen and Ammonia Production Facility,AmmPower Green Hydrogen/Ammonia Production Facility - Initial Construction,Ammonia/Urea Plants,Announced,Synthetic Fertilizers,,,,
"-92.105494, 32.188005",LA,Caldwell,Louisiana Green Fuels LLC,Louisiana Green Fuels Renewable Fuels Plant,Louisiana Green Fuels Renewable Fuels Plant - Initial Construction,Renewable Diesel or Gasoline Refinery,Announced,Other,,,,
"-91.362756, 30.70641",LA,Point Coupee,"Texas Eastern Transmission, LP",Roads Compressor Station,Roads Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,124078,,,
"-90.368611, 29.5875",LA,Lafourche,"Texas Eastern Transmission, LP",Larose Compressor Station,Larose Compressor Station,Compressor Station,Pre-construction,Natural Gas,-35479,,,
"-91.135567, 30.110831",LA,Iberville,"Texas Eastern Transmission, LP",White Castle Compressor Station,White Castle Compressor Station,Compressor Station,Pre-construction,Natural Gas,-35299,,,
"-72.633315, 42.035058",MA,Hampden,"Tennessee Gas Pipeline Company, LLC",Compressor Station 261,Compressor Station 261,Compressor Station,Operating,Natural Gas,11685,25382,15,19
"-70.963312, 42.244686",MA,Norfolk,"Algonquin Gas Transmission, LLC",Weymouth Compressor Station,Weymouth Compressor Station - Initial Construction,Compressor Station,Operating,Natural Gas,61340,99964,27,23
"-76.409404, 38.38786",MD,Calvert,"Dominion Energy Cove Point LNG, LP",Cove Point LNG Terminal,Cove Point Liquefaction Project,Liquefied Natural Gas Terminal or Liquefaction Plant,Operating,Liquefied Natural Gas,2030998,11417,19,15
"-70.365622, 43.722833",ME,Cumberland,Portland Natural Gas Transmission System,Westbrook Compressor Station,Westbrook Compressor - Westbrook Xpress Phase 2 Expansion Project,Compressor Station,Operating,Natural Gas,78322,14876,11,27
"-83.564683, 42.543602",MI,Oakland,DTE Gas Company,Milford Compressor Station,Milford Compressor Station.10124-01,Compressor Station,Operating,Natural Gas,204569,24147,23,23
"-82.865402, 42.800982",MI,Macomb,Bluewater Gas Storage LLC,Bluewater Compressor Station,Bluewater Compressor Station,Compressor Station,Operating,Natural Gas,37160,3495,4,18
"-92.919981, 46.024499",MN,Pine,Northern Natural Gas Company,Hinckley Compressor Station,Hinckley Compressor Station - Initial Construction,Compressor Station,Operating,Natural Gas,42541,2177,22,45
"-93.040959, 44.765551",MN,Dakota,"Flint Hills Resources, LP",Pine Bend Refinery,Pine Bend 21 Unit Heater Replacement Project,Refinery,Operating,Oil,152817,1656,9,7
"-93.040959, 44.765551",MN,Dakota,"Flint Hills Resources, LP",Pine Bend Refinery,Pine Bend Cogeneration Facility,Associated Electricity Generation,Operating,Oil,345263,1656,9,7
"-93.040959, 44.765551",MN,Dakota,"Flint Hills Resources, LP",Pine Bend Refinery,Pine Bend Propylene Storage and Distribution Project,Refinery,Operating,Oil,420664,1656,9,7
"-93.040959, 44.765551",MN,Dakota,"Flint Hills Resources, LP",Pine Bend Refinery,Pine Bend Technology and Efficiency Improvement Projects,Refinery,Operating,Oil,576011,1656,9,7
"-93.321012, 44.269657",MN,Rice,Northern Natural Gas Company,"Faribault Compressor Station ",Northern Lights 2019 Expansion and Rochester Projects - Faribault Compressor Station,Compressor Station,Operating,Natural Gas,66169,15098,24,36
"-93.378433, 43.961763",MN,Steele,Northern Natural Gas Company,Owatonna Compressor Station,Northern Lights 2019 Expansion and Rochester Projects - Owatonna Compressor Station,Compressor Station,Operating,Natural Gas,66421,306,3,19
"-93.667994, 44.732678",MN,Carver,Northern Natural Gas Company,"Carver Compressor Station ",Carver Compressor Station - Northern Lights 2019,Compressor Station,Operating,Natural Gas,42570,5020,9,8
"-94.119072, 45.940618",MN,Morrison,Northern Natural Gas Company,Pierz Compressor Station,Pierz Compressor Station 2021 Expansion,Compressor Station,Operating,Natural Gas,128,,3,30
"-93.040959, 44.765551",MN,Dakota,"Flint Hills Resources, LP",Pine Bend Refinery,Pine Bend Emergency Generators Installation,Refinery,Operating,Oil,24330,1656,9,7
"-93.040959, 44.765551",MN,Dakota,"Flint Hills Resources, LP",Pine Bend Refinery,Pine Bend Dry Gas-to-Liquid Project,Refinery,Operating,Oil,2938,1656,9,7
"-88.49982, 30.32437",MS,Jackson,"Gulf LNG Liquefaction Company, LLC",Gulf LNG Terminal,Gulf LNG Liquefaction Project,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,2885787,5160,33,39
"-88.878644, 32.143",MS,Clarke,Southern Natural Gas Company LLC,Rose Hill Compressor Station,Rose Hill Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,80077,484,26,26
"-89.899864, 32.012332",MS,Simpson,"D’Lo Gas Storage, LLC",D'Lo Gas Storage Compressor Station,D'Lo Gas Storage Compressor Station- Initial Construction,Compressor Station,Pre-construction,Natural Gas,,,,
"-108.493962, 45.779833",MT,Yellowstone,Phillips 66 Company,Billings Refinery,Billings Refinery - Sulfur Recovery Optimization Project,Refinery,Pre-construction,Oil,243782,48913,19,37
"-111.295454, 47.522981",MT,Cascade,Montana Renewables Inc.,Great Falls Montana Renewable Diesel Plant,Great Falls Montana RDU - Initial Construction,Renewable Diesel or Gasoline Refinery,Pre-construction,Other,,46576,16,41
"-78.263662, 35.330697",NC,Johnston,Piedmont Natural Gas Company,Bentonville LNG Facility,Bentonville LNG Expansion Project,Liquefied Natural Gas Storage Facility,Operating,Liquefied Natural Gas,,629,21,46
"-102.87526, 47.803169",ND,McKenzie,"Arrow Midstream Holdings, LLC",Arrow Central Delivery Facility,Arrow Central Delivery Facility,Crude Oil Terminal,Operating,Oil,2700,129,4,16
"-102.989511, 47.887505",ND,McKenzie,"ONEOK Rockies Midstream, LLC",Demicks Lake Gas Plant,Demicks Lake Gas Plants I and II,Gas Processing Plant,Operating,Natural Gas,126142.27,82,4,16
"-102.909823, 46.854857",ND,Stark,Dakota Prairie Refining LLC,Dickinson Refinery,Dickinson Refinery - Renewable Diesel Project,Renewable Diesel or Gasoline Refinery,Operating,Other,222320,459,6,7
"-103.22018, 47.675226",ND,McKenzie,"WBI Energy Transmission, Inc.",Elkhorn Creek Compressor Station,Elkhorn Creek Compressor Station,Compressor Station,Under construction,Natural Gas,34654,38,24,30
"-101.7522, 48.322575",ND,Ward,"NDPC, LLC",Berthold Terminal,Berthold Terminal Expansion,Crude Oil Terminal,Operating,Oil,15441.55,,5,12
"-103.013595, 48.195743",ND,Williams,"Nesson Gathering System, LLC",Flickertail Compressor Station,Flickertail Compressor Station - Initial Construction,Compressor Station,On hold,Natural Gas,96586,31,4,15
"-97.124422, 47.97167",ND,Grand Forks,"Northern Plains Nitrogen, LLP",Grand Forks Fertilizer Plant,Grand Forks Fertilizer Plant - Initial Construction,Ammonia/Urea Plants,On hold,Synthetic Fertilizers,1146226,550,27,30
"-102.867992, 48.037623",ND,McKenzie,"Hess North Dakota Pipelines, LLC",Hawkeye Gas Facility,Hawkeye Gas Facility.10183-01,Compressor Station,Operating,Natural Gas,114316,160,4,16
"-103.261944, 47.696111",ND,McKenzie,Targa Badlands LLC,Little Missouri Gas Plant and Smokey Compressor Station,Little Missouri Gas Plant 5,Gas Processing Plant,Pre-construction,Natural Gas,92836,119,19,26
"-102.827073, 48.054184",ND,McKenzie,"ONEOK Rockies Midstream, LLC",Riverside Compressor Station,Riverside Compressor Station.10275-01,Compressor Station,Under construction,Natural Gas,57041.7,48,4,16
"-102.878902, 48.198744",ND,Williams,"Nesson Gathering System, LLC",RoughRider Compressor Station,RoughRider Compressor Station - Initial Construction,Compressor Station,On hold,Natural Gas,96586,27,4,15
"-104.041311, 48.127456",ND,Williams,Outrigger Energy,Sanderson Gas Plant,Sanderson Gas Plant.10277-01,Gas Processing Plant,Operating,Natural Gas,137328,17,24,24
"-102.906744, 48.403529",ND,Williams,"WBI Energy Transmission, Inc.",Tioga Compressor Station,Tioga Compressor Station,Compressor Station,Operating,Natural Gas,52842,1276,5,35
"-103.849771, 48.12674",ND,Williams,Grayson Mill Operating LLC,Trenton Central RVP Station,Trenton Central RVP Station - Initial Construction,Other Pipeline Infrastructure,Pre-construction,Oil,305578,119,25,22
"-103.192392, 47.858703",ND,McKenzie,Oasis Midstream Services,Wild Basin Gas Processing and Crude Handling Facility,Wild Basin Gas Processing and Crude Handling Facility.10269-01,Gas Processing Plant,Operating,Natural Gas,329153,143,4,16
"-102.785263, 47.440058",ND,Dunn,"ONEOK Rockies Midstream, LLC",Bear Creek Gas Plant,Bear Creek Gas Plant - Train 1,Gas Processing Plant,Operating,Natural Gas,49757.44,9,23,23
"-102.785263, 47.440058",ND,Dunn,"ONEOK Rockies Midstream, LLC",Bear Creek Gas Plant,Bear Creek Gas Plant - Train 2,Gas Processing Plant,Operating,Natural Gas,71872.54,9,23,23
"-101.838134, 47.360598",ND,Mercer,Mitsubishi Power Americas,North Dakota Hydrogen Hub,North Dakota Hydrogen Hub - Initial Construction,Hydrogen Plant,Announced,Other,,31,15,25
,ND,Williams,Cerilon GTL Inc.,Cerilon Gas-to-Liquids Plant,Cerilon Gas-to-Liquids Plant - Phase 1,Gas to Liquids Plant,Announced,Petrochemicals and Plastics,,,,
"-103.245663, 46.88257",ND,Billings,"Meridian Energy Group, Inc.",Davis Refinery,Davis Refinery - Initial Construction,Refinery,Under construction,Oil,,,4,27
"-102.989511, 47.887505",ND,McKenzie,"ONEOK Rockies Midstream, LLC",Demicks Lake Gas Plant,Demicks Lake Gas Plant III,Gas Processing Plant,Under construction,Natural Gas,63421.73,82,4,16
"-103.261944, 47.696111",ND,McKenzie,Targa Badlands LLC,Little Missouri Gas Plant and Smokey Compressor Station,Little Missouri Gas Plant 4,Gas Processing Plant,Operating,Natural Gas,462.84,119,19,26
"-97.579731, 40.53924",NE,Fillmore,Rocky Mountain Resources,Nebraska Nitrogen Plant,Nebraska Nitrogen Plant - Initial Construction,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,96195,2127,9,25
"-96.780296, 40.551936",NE,Lancaster,Monolith Materials,Monolith Olive Creek Plant,Olive Creek 1,Other Chemicals,Operating,Petrochemicals and Plastics,6580.2,524,1,10
"-96.780296, 40.551936",NE,Lancaster,Monolith Materials,Monolith Olive Creek Plant,Olive Creek 2,Hydrogen Plant,Pre-construction,Petrochemicals and Plastics,115175.8,524,1,10
"-74.645519, 41.245016",NJ,Sussex,"Tennessee Gas Pipeline Company, LLC",Compressor Station 325,Compressor Station 325 - East 300 Upgrade Project,Compressor Station,Pre-construction,Natural Gas,86831,7022,6,16
"-74.730113, 40.532622",NJ,Somerset,"Transcontinental Gas Pipe Line Company, LLC",REAE Compressor Station 505,Compressor Station 505 - Regional Energy Access (REAE) Pipeline Expansion,Compressor Station,Pre-construction,Natural Gas,146522,13982,22,8
"-74.598368, 40.403882",NJ,Somerset,"Transcontinental Gas Pipe Line Company, LLC",NE Supply Compressor Station 206,NE Supply Compressor Station 206,Compressor Station,Pre-construction,Natural Gas,140935,32941,55,11
"-75.198747, 39.820482",NJ,Gloucester,"Transcontinental Gas Pipe Line Company, LLC",REAE Compressor Station 201,Compressor Station 201 - Regional Energy Access (REAE) Pipeline Expansion,Compressor Station,Pre-construction,Natural Gas,52925,48557,24,22
"-75.299218, 39.8418",NJ,Gloucester,Delaware River Partners LLC,Gibbstown Logistics Center,Gibbstown Logistics Center - Dock 2 Expansion Project,Liquefied Natural Gas Terminal or Liquefaction Plant,Announced,Liquefied Natural Gas,,30450,21,32
"-75.299218, 39.8418",NJ,Gloucester,Delaware River Partners LLC,Gibbstown Logistics Center,Gibbstown Logistics Center - LPG Transfer and Degassing Project,Natural Gas Liquids Storage Facility,Operating,Petrochemicals and Plastics,,30450,21,32
"-103.525728, 32.542358",NM,Lea,"3 Bear Delaware Operating – NM, LLC",3 Bear Libby Gas Plant,3 Bear Libby Gas Plant,Natural Gas Liquids Fractionator,Partially operating,Petrochemicals and Plastics,230609,,66,27
"-103.6199, 32.307633",NM,Lea,"Lucid Energy Delaware, LLC",Big Lizard Compressor Station,Big Lizard Compressor Station,Compressor Station,Operating,Natural Gas,162083,,,
"-103.841589, 32.159932",NM,Eddy,"XTO Energy, Inc.",XTO Energy - Cowboy Central Delivery Point (CDP),XTO - Cowboy CDP,Crude Oil Terminal,Operating,Petrochemicals and Plastics,964588,3,42,35
"-103.857222, 32.371667",NM,Eddy,"XTO Energy, Inc.",Longhorn Compressor Station,Longhorn Compressor Station.10391-01,Compressor Station,Operating,Natural Gas,259101,,,
"-103.523226, 32.216524",NM,Lea,"Lucid Energy Delaware, LLC",Lucid Energy - Red Hills Gas Processing Complex,"Red Hills Gas Plants V, VI, and VII",Gas Processing Plant,Partially operating,Natural Gas,836315.2,,,
"-107.998849, 32.257081",NM,Luna,"El Paso Natural Gas Company, LLC",El Paso Natural Gas - Red Mountain Compressor Station,South Mainline Red Mountain Compressor Station,Compressor Station,Operating,Natural Gas,51651,7,68,72
"-104.110262, 32.26719",NM,Eddy,"Lucid Energy Delaware, LLC",Lucid Energy Roadrunner Gas Processing Plant,Roadrunner I Gas Plant,Gas Processing Plant,Operating,Natural Gas,239384,1594,75,45
"-104.12333, 32.260627",NM,Eddy,Sendero Carlsbad Midstream LLC,Sendero Carlsbad Gas Processing Plant,Sendero Carlsbad Gas Plant - Initial Construction,Gas Processing Plant,Operating,Natural Gas,,1488,77,45
"-103.828358, 32.161289",NM,Eddy,Enterprise Field Services,South Eddy Cryo Plant,South Eddy Cryo - Initial Construction,Gas Processing Plant,Operating,Natural Gas,537690,3,42,35
"-104.103303, 32.194986",NM,Eddy,"Crestwood New Mexico Pipeline, LLC",Crestwood Willow Lake Gas Processing Plant,Crestwood Willow Lake Expansion Project 1,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,102026.4,144,42,35
"-103.712359, 32.022008",NM,Lea,ConocoPhillips Company,ConocoPhillips - Zia Hills Central Facility,Zia Hills Central Facility,Crude Oil Terminal,Pre-construction,Oil,,,,
"-103.8089, 32.64306",NM,Lea,DCP Operating Company LP,Zia II Gas Plant,Zia II Gas Plant.10110-01,Gas Processing Plant,Operating,Natural Gas,340532,,,
"-104.12333, 32.260627",NM,Eddy,Sendero Carlsbad Midstream LLC,Sendero Carlsbad Gas Processing Plant,Sendero Carlsbad Gas Plant - Capacity Expansion Project,Gas Processing Plant,Operating,Natural Gas,,1488,77,45
"-104.103303, 32.194986",NM,Eddy,"Crestwood New Mexico Pipeline, LLC",Crestwood Willow Lake Gas Processing Plant,Crestwood Willow Lake Expansion Project 2,Natural Gas Liquids Fractionator,Pre-construction,Petrochemicals and Plastics,4105,144,42,35
"-104.391306, 32.846556",NM,Eddy,Artesia Renewable Diesel Company LLC,Artesia Renewable Diesel Unit,Artesia Renewable Diesel Unit - Initial Construction,Renewable Diesel or Gasoline Refinery,Under construction,Other,,14014,58,39
"-104.390917, 32.841667",NM,Eddy,Artesia PTU LLC,Artesia Pretreatment Unit,Artesia Pretreatment Unit - Initial Construction,Renewable Diesel or Gasoline Refinery,Pre-construction,Other,11920,13860,58,39
"-104.132148, 32.266789",NM,Eddy,DLK Black River Midstream LLC,Black River Gas Processing Complex,Black River Gas Plant - Initial Construction and Capacity Expansion Projects,Gas Processing Plant,Partially operating,Natural Gas,111877.5,1460,78,45
"-104.110262, 32.26719",NM,Eddy,"Lucid Energy Delaware, LLC",Lucid Energy Roadrunner Gas Processing Plant,Roadrunner II Gas Plant,Gas Processing Plant,Operating,Natural Gas,268496,1594,75,45
"-104.110262, 32.26719",NM,Eddy,"Lucid Energy Delaware, LLC",Lucid Energy Roadrunner Gas Processing Plant,Roadrunner III and IV Gas Plants,Gas Processing Plant,Operating,Natural Gas,-212501,1594,75,45
"-103.523226, 32.216524",NM,Lea,"Lucid Energy Delaware, LLC",Lucid Energy - Red Hills Gas Processing Complex,Red Hills Gas Plant IV,Gas Processing Plant,Operating,Natural Gas,65070.6,,,
"-119.35311, 39.627508",NV,Washoe,Tuscarora Gas Transmission Company,Wadsworth Compressor Station,Tuscarora Xpress Project,Compressor Station,Operating,Natural Gas,8253,197,38,28
"-78.802651, 43.08343",NY,Niagara,"Empire Pipeline, Inc.",Pendleton Compressor Station,Pendleton Compressor Station - Northern Access 2016,Compressor Station,Pre-construction,Natural Gas,97668,17704,12,20
"-74.019602, 41.243159",NY,Rockland,"Algonquin Gas Transmission, LLC",Stony Point Compressor Station,Stony Point Compressor Station,Compressor Station,Operating,Natural Gas,310385,24642,39,18
"-78.584782, 42.797541",NY,Erie,National Fuel Gas Supply Corporation,Porterville Compressor Station,Porterville Compressor Expansion Project - Northern Access 2016,Compressor Station,Pre-construction,Natural Gas,22480,12830,3,15
"-81.023151, 40.259447",OH,Harrison,"MarkWest Utica EMG, L.L.C.",MarkWest Cadiz Gas Plant,Cadiz I Gas Processing Plant,Gas Processing Plant,Operating,Natural Gas,54254,3342,13,34
"-81.106393, 40.402433",OH,Harrison,"Utica East Ohio Midstream, LLC",Williams Harrison Hub Fractionation Plant,Williams Harrison Hub Fractionation Plant,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,78438,2006,5,48
"-80.936386, 40.3325",OH,Harrison,"MarkWest Ohio Fractionation Company, L.L.C",MarkWest Hopedale Fractionation Facility,Hopedale Fractionation Train 1,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,81861,1876,3,38
