,,Total Vote,B,T,P,Margin,Margin (%),,Biden,Trump,Pierce,Other,Biden,Trump,Pierce,Jorgensen,Hawkins,Blankenship,de la Fuente,West,La Riva,Write-ins,Kennedy,Myers,Carroll,Collins,Huber,Segal,Janos,Kopitke,Hunter,Kishore,Hammons,Boddie,Charles,Duncan,Hoefling,Jacob-Fambro,King,LaFontaine,McCormic,McHugh,Paige,Scalf,Scott,Simmons,Swing,Tittle,None,Gammon,,J,H,B,d,Jorgensen,Hawkins,Blankenship,de la Fuente,,,,CD,,ST,CTY,FIPS,FIPS2010,LSAD_TRANS,Blank/Under,Void/Over,,,,,,,,,,Total Vote (county report),Total Write-ins,Other,,Qualified Write-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,FL,"6,859",,,0,"2,555",37.25%,,30.91%,68.16%,0.00%,0.93%,"2,120","4,675",,27,12,3,4,,8,10,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.39%,0.17%,0.04%,0.06%,,Franklin,FL,2,,12,037,12037,12037,County,,,,,,https://enr.electionsfl.org/FRA/Summary/2780/,,,,,0,"6,859",10,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadsden,FL,"23,762",,,0,"8,688",36.56%,,67.98%,31.42%,0.00%,0.61%,"16,153","7,465",,96,21,9,8,,10,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.40%,0.09%,0.04%,0.03%,,Gadsden,FL,5,,12,039,12039,12039,County,,,,,,https://enr.electionsfl.org/GAD/Summary/2819/,,,,,0,"23,762",,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilchrist,FL,"9,702",,,0,"6,195",63.85%,,17.52%,81.37%,0.00%,1.10%,"1,700","7,895",,61,13,5,6,,2,17,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.63%,0.13%,0.05%,0.06%,,Gilchrist,FL,2,,12,041,12041,12041,County,,,,,,https://enr.electionsfl.org/GIL/Summary/2826/,,,,,-2,"9,700",20,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glades,FL,"5,203",,,0,"2,397",46.07%,,26.62%,72.69%,0.00%,0.69%,"1,385","3,782",,21,4,0,0,,1,10,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0.40%,0.08%,0.00%,0.00%,,Glades,FL,17,,12,043,12043,12043,County,,,,,,https://enr.electionsfl.org/GLA/2816/Summary/,,,,,0,"5,203",10,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf,FL,"8,172",,,0,"4,128",50.51%,,24.29%,74.80%,0.00%,0.91%,"1,985","6,113",,48,5,6,6,,0,9,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.59%,0.06%,0.07%,0.07%,,Gulf,FL,2,,12,045,12045,12045,County,,,,,,https://enr.electionsfl.org/GUL/Summary/2800/,,,,,0,"8,172",9,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,FL,"5,840",,,0,"1,852",31.71%,,33.61%,65.33%,0.00%,1.06%,"1,963","3,815",,33,8,2,6,,2,10,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.57%,0.14%,0.03%,0.10%,,Hamilton,FL,5,,12,047,12047,12047,County,,,,,,https://enr.electionsfl.org/HAM/2794/Summary/,,,,,0,"5,840",11,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardee,FL,"8,502",,,0,"3,824",44.98%,,27.03%,72.01%,0.00%,0.96%,"2,298","6,122",,40,8,1,10,,6,17,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.47%,0.09%,0.01%,0.12%,,Hardee,FL,17,,12,049,12049,12049,County,,,,,,https://enr.electionsfl.org/HAR/Summary/2827/,,,,,0,"8,502",17,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hendry,FL,"12,956",,,0,"2,977",22.98%,,38.04%,61.02%,0.00%,0.93%,"4,929","7,906",,65,13,7,11,,8,16,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.50%,0.10%,0.05%,0.08%,,Hendry,FL,25,,12,051,12051,12051,County,,,,,,https://enr.electionsfl.org/HEN/Summary/2778/,,,,,0,"12,956",17,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hernando,FL,"109,150",,,0,"32,893",30.14%,,34.37%,64.51%,0.00%,1.12%,"37,519","70,412",,686,151,40,62,,44,228,,,7,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.63%,0.14%,0.04%,0.06%,,Hernando,FL,11,,12,053,12053,12053,County,,,,,,https://enr.electionsfl.org/HER/Summary/2777/,,,,,0,"109,150",236,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlands,FL,"52,243",,,0,"17,935",34.33%,,32.42%,66.75%,0.00%,0.83%,"16,938","34,873",,223,53,28,28,,24,73,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.43%,0.10%,0.05%,0.05%,,Highlands,FL,17,,12,055,12055,12055,County,,,,,,https://enr.electionsfl.org/HIG/2802/Summary/,,,,,0,"52,243",76,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough,FL,"714,068",,,0,"48,969",6.86%,,52.71%,45.85%,0.00%,1.44%,"376,367","327,398",,"5,665","1,187",270,574,,529,"2,005",,,61,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.79%,0.17%,0.04%,0.08%,,Hillsborough,FL,,,12,057,12057,12057,County,"1,981","1,253",,,,https://enr.electionsfl.org/HIL/2772/Summary/,,,,,0,"714,068","2,078",,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes,FL,"9,078",,,0,"7,156",78.83%,,10.18%,89.01%,0.00%,0.82%,924,"8,080",,48,9,4,2,,1,10,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.53%,0.10%,0.04%,0.02%,,Holmes,FL,,,12,059,12059,12059,County,,,,,,https://enr.electionsfl.org/HOL/2773/Summary/,,,,,0,"9,078",10,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian River,FL,"97,740",,,0,"21,028",21.51%,,38.72%,60.23%,0.00%,1.05%,"37,844","58,872",,534,117,38,43,,33,256,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.55%,0.12%,0.04%,0.04%,,Indian River,FL,8,,12,061,12061,12061,County,,,,,,https://enr.electionsfl.org/IND/Summary/2791/,,,,,0,"97,740",259,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,FL,"22,456",,,0,"8,722",38.84%,,30.13%,68.97%,0.00%,0.90%,"6,766","15,488",,116,13,5,13,,13,37,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.52%,0.06%,0.02%,0.06%,,Jackson,FL,2,,12,063,12063,12063,County,,,,,,https://enr.electionsfl.org/JAC/Summary/2746/,,,,,0,"22,456",42,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson,FL,"8,468",,,0,582,6.87%,,46.02%,52.89%,0.00%,1.09%,"3,897","4,479",,46,13,5,4,,4,17,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.54%,0.15%,0.06%,0.05%,,Jefferson,FL,,,12,065,12065,12065,County,,,,,,https://enr.electionsfl.org/JEF/Summary/2815/,,,,,-9,"8,459",20,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,FL,"3,662",,,0,"2,618",71.49%,,13.93%,85.42%,0.00%,0.66%,510,"3,128",,14,2,2,1,,1,4,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.38%,0.05%,0.05%,0.03%,,Lafayette,FL,2,,12,067,12067,12067,County,,,,,,https://enr.electionsfl.org/LAF/Summary/2776/,,,,,-5,"3,657",4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,FL,"211,314",,,0,"42,354",20.04%,,39.52%,59.56%,0.00%,0.92%,"83,505","125,859",,"1,385",254,79,120,,96,2,,,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.66%,0.12%,0.04%,0.06%,,Lake,FL,,,12,069,12069,12069,County,,,,,,https://enr.electionsfl.org/LAK/Summary/2762/,,,,,0,"211,314",,,,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,FL,"394,758",,,0,"75,552",19.14%,,39.95%,59.09%,0.00%,0.97%,"157,695","233,247",,"2,016",440,121,187,,176,859,,,15,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.51%,0.11%,0.03%,0.05%,,Lee,FL,,,12,071,12071,12071,County,,,,,,https://enr.electionsfl.org/LEE/2822/Summary/,,,,,"-1,948","392,810",876,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon,FL,"163,476",,,0,"46,064",28.18%,,63.32%,35.14%,0.00%,1.53%,"103,517","57,453",,"1,344",271,71,98,,122,548,,,43,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.82%,0.17%,0.04%,0.06%,,Leon,FL,,,12,073,12073,12073,County,,,,,,https://enr.electionsfl.org/LEO/2775/Summary/,,,,,0,"163,476",600,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levy,FL,"23,185",,,0,"10,544",45.48%,,26.76%,72.24%,0.00%,1.00%,"6,205","16,749",,131,25,13,14,,7,40,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.57%,0.11%,0.06%,0.06%,,Levy,FL,2,,12,075,12075,12075,County,,,,,,https://enr.electionsfl.org/LEV/2785/Summary/,,,,,0,"23,185",41,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty,FL,"3,565",,,0,"2,152",60.36%,,19.47%,79.83%,0.00%,0.70%,694,"2,846",,14,2,1,2,,2,4,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.39%,0.06%,0.03%,0.06%,,Liberty,FL,2,,12,077,12077,12077,County,,,,,,https://enr.electionsfl.org/LIB/2783/Summary/,,,,,0,"3,565",4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,FL,"9,393",,,0,"1,829",19.47%,,39.89%,59.36%,0.00%,0.75%,"3,747","5,576",,32,13,5,3,,4,13,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.34%,0.14%,0.05%,0.03%,,Madison,FL,5,,12,079,12079,12079,County,,,,,,https://enr.electionsfl.org/MAD/Summary/2808/,,,,,0,"9,393",13,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manatee,FL,"217,472",,,0,"34,821",16.01%,,41.46%,57.47%,0.00%,1.07%,"90,166","124,987",,"1,287",258,69,96,,78,514,,,10,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.59%,0.12%,0.03%,0.04%,,Manatee,FL,16,,12,081,12081,12081,County,,,,,,https://enr.electionsfl.org/MAN/2748/Summary/,,,,,0,"217,472",531,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,FL,"204,716",,,0,"52,968",25.87%,,36.57%,62.44%,0.00%,0.99%,"74,858","127,826",,"1,180",228,80,91,,98,340,,,12,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.58%,0.11%,0.04%,0.04%,,Marion,FL,,,12,083,12083,12083,County,,,,,,https://enr.electionsfl.org/MRN/Summary/2784/,,,,,0,"204,716",355,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,FL,"98,942",,,0,"24,275",24.53%,,37.29%,61.82%,0.00%,0.89%,"36,893","61,168",,448,105,37,38,,35,217,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.45%,0.11%,0.04%,0.04%,,Martin,FL,18,,12,085,12085,12085,County,,,,,,https://results.enr.clarityelections.com/FL/Martin/106277/,,,,,0,"98,942",218,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami-Dade,FL,"1,158,918",,,0,"85,031",7.34%,,53.31%,45.98%,0.00%,0.71%,"617,864","532,833",,"3,329","1,289",293,602,,579,"2,104",,,18,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.29%,0.11%,0.03%,0.05%,,Miami-Dade,FL,,,12,086,12086,12086,County,,,,,,https://enr.electionsfl.org/DAD/2779/Summary/,,,,,0,"1,158,918","2,129",,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe,FL,"48,135",,,0,"3,812",7.92%,,45.46%,53.38%,0.00%,1.17%,"21,881","25,693",,348,51,12,26,,14,106,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.72%,0.11%,0.02%,0.05%,,Monroe,FL,26,,12,087,12087,12087,County,,,,,,https://enr.electionsfl.org/MON/Summary/2806/,,,,,0,"48,135",110,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nassau,FL,"58,915",,,0,"27,002",45.83%,,26.42%,72.25%,0.00%,1.33%,"15,564","42,566",,569,43,24,28,,12,104,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.97%,0.07%,0.04%,0.05%,,Nassau,FL,4,,12,089,12089,12089,County,155,42,,,,https://enr.electionsfl.org/NAS/2766/Summary/,,,,,0,"58,915",109,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okaloosa,FL,"116,743",,,0,"45,550",39.02%,,29.34%,68.35%,0.00%,2.31%,"34,248","79,798",,"1,881",183,79,76,,73,370,,,31,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1.61%,0.16%,0.07%,0.07%,,Okaloosa,FL,1,,12,091,12091,12091,County,,,,,,https://enr.electionsfl.org/OKA/2824/Summary/,,,,,0,"116,743",405,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,FL,"15,984",,,0,"7,080",44.29%,,27.46%,71.76%,0.00%,0.78%,"4,390","11,470",,66,7,8,8,,4,31,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.41%,0.04%,0.05%,0.05%,,Okeechobee,FL,17,,12,093,12093,12093,County,,,,,,https://enr.electionsfl.org/OKE/Summary/2814/,,,,,-20,"15,964",31,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,FL,"649,157",,,0,"149,616",23.05%,,60.85%,37.80%,0.00%,1.35%,"395,014","245,398",,"4,685","1,146",223,386,,444,"1,756",,,92,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.72%,0.18%,0.03%,0.06%,,Orange,FL,,,12,095,12095,12095,County,"1,870","2,079",,,,https://ocfelections.com/webapps/results/electionresults.aspx,,,,,0,"649,157","1,861",,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osceola,FL,"172,784",,,0,"23,817",13.78%,,56.31%,42.53%,0.00%,1.16%,"97,297","73,480",,964,290,70,166,,140,348,,,23,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0.56%,0.17%,0.04%,0.10%,,Osceola,FL,9,,12,097,12097,12097,County,,,,,,https://results.enr.clarityelections.com/FL/Osceola/106121/,,,,,0,"172,784",377,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Beach,FL,"774,597",,,0,"98,861",12.76%,,55.97%,43.21%,0.00%,0.82%,"433,572","334,711",,"3,040",891,188,356,,335,"1,440",,,50,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.39%,0.12%,0.02%,0.05%,,Palm Beach,FL,,,12,099,12099,12099,County,,,,,,https://enr.electionsfl.org/PAL/Summary/2801/,,,,,0,"774,597","1,504",,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasco,FL,"302,621",,,0,"60,548",20.01%,,39.35%,59.36%,0.00%,1.30%,"119,073","179,621",,"2,265",467,142,200,,169,651,,,29,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.75%,0.15%,0.05%,0.07%,,Pasco,FL,12,,12,101,12101,12101,County,,,,,,https://enr.electionsfl.org/PAS/2786/Summary/,,,,,0,"302,621",684,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinellas,FL,"561,161",,,0,"1,241",0.22%,,49.44%,49.22%,0.00%,1.34%,"277,450","276,209",,"4,268",912,199,305,,311,"1,446",,,49,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.76%,0.16%,0.04%,0.05%,,Pinellas,FL,,,12,103,12103,12103,County,,,,,,https://enr.votepinellas.com/FL/Pinellas/106209/,,,,,0,"561,161","1,507",,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk,FL,"344,026",,,0,"49,537",14.40%,,42.16%,56.56%,0.00%,1.28%,"145,049","194,586",,"2,595",425,140,204,,217,770,,,37,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.75%,0.12%,0.04%,0.06%,,Polk,FL,,,12,105,12105,12105,County,,,,,,https://enr.electionsfl.org/POL/Summary/2547/,,,,,0,"344,026",810,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam,FL,"36,422",,,0,"14,987",41.15%,,28.90%,70.05%,0.00%,1.05%,"10,527","25,514",,226,50,20,14,,21,49,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.62%,0.14%,0.05%,0.04%,,Putnam,FL,3,,12,107,12107,12107,County,,,,,,https://enr.electionsfl.org/PUT/2812/Summary/,,,,,0,"36,422",50,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Johns,FL,"177,047",,,0,"47,096",26.60%,,36.06%,62.66%,0.00%,1.27%,"63,850","110,946",,"1,413",210,44,101,,54,425,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.80%,0.12%,0.02%,0.06%,,St. Johns,FL,,,12,109,12109,12109,County,,,,,,https://enr.electionsfl.org/STJ/2763/Summary/,,,,,0,"177,047",429,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucie,FL,"172,349",,,0,"2,694",1.56%,,48.82%,50.38%,0.00%,0.80%,"84,137","86,831",,768,209,61,71,,82,180,,,10,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.45%,0.12%,0.04%,0.04%,,St. Lucie,FL,18,,12,111,12111,12111,County,,,,,,https://enr.electionsfl.org/STL/2787/Summary/,,,,,0,"172,349",190,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,FL,"107,198",,,0,"49,773",46.43%,,25.76%,72.19%,0.00%,2.05%,"27,612","77,385",,"1,645",122,55,60,,46,270,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1.53%,0.11%,0.05%,0.06%,,Santa Rosa,FL,1,,12,113,12113,12113,County,,,,,,https://enr.electionsfl.org/SAN/Summary/2804/,,,,,0,"107,198",273,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarasota,FL,"271,169",,,0,"28,260",10.42%,,44.29%,54.71%,0.00%,0.99%,"120,110","148,370",,"1,507",284,70,102,,105,596,,,23,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.56%,0.10%,0.03%,0.04%,,Sarasota,FL,,,12,115,12115,12115,County,,,,,,https://results.enr.clarityelections.com/FL/Sarasota/106713,,,,,0,"271,169",621,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seminole,FL,"261,533",,,0,"7,287",2.79%,,50.67%,47.89%,0.00%,1.44%,"132,528","125,241",,"2,215",406,103,135,,137,720,,,42,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0.85%,0.16%,0.04%,0.05%,,Seminole,FL,7,,12,117,12117,12117,County,,,,,,https://www.voteseminole.org/2020-general-election-results,,,,,0,"261,533",768,,,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter,FL,"92,624",,,0,"33,420",36.08%,,31.68%,67.76%,0.00%,0.56%,"29,341","62,761",,269,39,29,25,,20,139,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.29%,0.04%,0.03%,0.03%,,Sumter,FL,11,,12,119,12119,12119,County,,,,,,https://enr.electionsfl.org/SUM/Summary/2767/,,,,,-15,"92,609",140,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwannee,FL,"21,083",,,0,"11,925",56.56%,,21.27%,77.84%,0.00%,0.89%,"4,485","16,410",,119,23,6,6,,8,26,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.56%,0.11%,0.03%,0.03%,,Suwannee,FL,2,,12,121,12121,12121,County,,,,,,https://enr.electionsfl.org/SUW/Summary/2813/,,,,,0,"21,083",26,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor,FL,"10,138",,,0,"5,452",53.78%,,22.68%,76.45%,0.00%,0.87%,"2,299","7,751",,52,11,3,3,,6,11,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.51%,0.11%,0.03%,0.03%,,Taylor,FL,2,,12,123,12123,12123,County,,,,,,https://enr.electionsfl.org/TAY/Summary/2810/,,,,,0,"10,138",13,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,FL,"6,251",,,0,"4,080",65.27%,,16.85%,82.11%,0.00%,1.04%,"1,053","5,133",,42,5,5,4,,3,6,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.67%,0.08%,0.08%,0.06%,,Union,FL,3,,12,125,12125,12125,County,,,,,,https://enr.electionsfl.org/UNI/2825/Summary/,,,,,0,"6,251",6,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volusia,FL,"308,109",,,0,"43,246",14.04%,,42.38%,56.42%,0.00%,1.21%,"130,575","173,821",,"2,156",390,141,160,,173,670,,,19,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.70%,0.13%,0.05%,0.05%,,Volusia,FL,6,,12,127,12127,12127,County,872,386,,,,,,,,,0,"308,109",693,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakulla,FL,"18,448",,,0,"7,523",40.78%,,29.01%,69.79%,0.00%,1.21%,"5,351","12,874",,135,18,10,10,,6,44,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.73%,0.10%,0.05%,0.05%,,Wakulla,FL,2,,12,129,12129,12129,County,43,22,,,,https://enr.electionsfl.org/WAK/2782/Summary/,,,,,-5,"18,443",44,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walton,FL,"43,795",,,0,"22,609",51.62%,,23.61%,75.23%,0.00%,1.16%,"10,338","32,947",,336,43,13,16,,15,84,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.77%,0.10%,0.03%,0.04%,,Walton,FL,1,,12,131,12131,12131,County,,,,,,https://enr.electionsfl.org/WAL/Summary/2769/,,,,,0,"43,795",87,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,FL,"12,335",,,0,"7,529",61.04%,,19.03%,80.06%,0.00%,0.91%,"2,347","9,876",,69,15,5,5,,10,8,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.56%,0.12%,0.04%,0.04%,,Washington,FL,2,,12,133,12133,12133,County,,,,,,https://enr.electionsfl.org/WAS/2805/Summary/,,,,,0,"12,335",8,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,T,"11,091,758",,,0,"371,686",3.35%,,47.76%,51.11%,0.00%,1.14%,"5,297,045","5,668,731",,"70,324","14,721","3,902","5,966",,"5,712","24,322",,,854,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,0.63%,0.13%,0.04%,0.05%,,Florida,T,,,12,,12,12,State,"5,146","3,900",,,,,,,,,,,"25,341",,20,9,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figures in Magenta from FL Over/Under Report,,,,,,,,,,,,,,Barbara Bellar,David Byrne,Deborah Rouse,Kasey Wells,Kathryn Gibson,Loren Collins,Peter Sherrill,Shawn Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appling,GA,"8,390",,,0,"4,786",57.04%,,21.26%,78.31%,0.00%,0.43%,"1,784","6,570",,36,0,0,,,0,0,,,0,,,,,,,,,0,0,,,0,,,,,,,,0,,,,,,,0,0,0,0.43%,0.00%,0.00%,0.00%,,Appling,GA,12,,13,001,13001,13001,County,,,,,,,,,,,"-8,390",,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson,GA,"3,155",,,0,"1,475",46.75%,,26.15%,72.90%,0.00%,0.95%,825,"2,300",,30,0,0,,,0,0,,,0,,,,,,,,,0,0,,,0,,,,,,,,0,,,,,,,0,0,0,0.95%,0.00%,0.00%,0.00%,,Atkinson,GA,8,,13,003,13003,13003,County,,,,,,,,,,,"-3,155",,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,GA,"4,667",,,0,"3,392",72.68%,,13.39%,86.07%,0.00%,0.54%,625,"4,017",,25,0,0,,,0,0,,,0,,,,,,,,,0,0,,,0,,,,,,,,0,,,,,,,0,0,0,0.54%,0.00%,0.00%,0.00%,,Bacon,GA,1,,13,005,13005,13005,County,,,,,,,,,,,"-4,667",,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,GA,"1,555",,,0,245,15.76%,,41.93%,57.68%,0.00%,0.39%,652,897,,6,0,0,,,0,0,,,0,,,,,,,,,0,0,,,0,,,,,,,,0,,,,,,,0,0,0,0.39%,0.00%,0.00%,0.00%,,Baker,GA,2,,13,007,13007,13007,County,,,,,,,,,,,"-1,555",,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin,GA,"18,261",,,0,237,1.30%,,50.05%,48.75%,0.00%,1.19%,"9,140","8,903",,208,4,0,,,4,0,,,1,,,,,,,,,0,0,,,0,,,,,,,,1,,,,,,,,0,0,1.14%,0.02%,0.00%,0.00%,,Baldwin,GA,10,,13,009,13009,13009,County,,,,,,,,,,,"-18,261",,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
